2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:25 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | WARNING | fxbot | Trading halted by daily loss limit (day_dd=-3.62%)
2026-02-01 10:40:26 | INFO | fxbot | New day rollover 2026-01-26 -> 2026-01-27 (reset daily limits)
2026-02-01 10:40:30 | INFO | fxbot | New day rollover 2026-01-27 -> 2026-01-28 (reset daily limits)
2026-02-01 10:40:30 | INFO | fxbot | OPEN trade_id=125 pair=USD/JPY side=SHORT p_up=0.155 entry=153.24726 sl=153.43908 tp=153.01707 units=1101.57 equity=10565.22
2026-02-01 10:40:31 | INFO | fxbot | CLOSE trade_id=125 pair=USD/JPY side=SHORT reason=TP exit=153.01707 pnl=253.57 equity=10818.78
2026-02-01 10:40:31 | INFO | fxbot | OPEN trade_id=126 pair=EUR/USD side=LONG p_up=0.600 entry=1.19513 sl=1.19359 tp=1.19698 units=140340.95 equity=10818.78
2026-02-01 10:40:31 | INFO | fxbot | CLOSE trade_id=126 pair=EUR/USD side=LONG reason=TIME exit=1.19637 pnl=174.02 equity=10992.81
2026-02-01 10:40:31 | INFO | fxbot | OPEN trade_id=127 pair=EUR/USD side=LONG p_up=1.000 entry=1.19615 sl=1.19499 tp=1.19754 units=190175.21 equity=10992.81
2026-02-01 10:40:31 | INFO | fxbot | CLOSE trade_id=127 pair=EUR/USD side=LONG reason=TP exit=1.19754 pnl=263.83 equity=11256.63
2026-02-01 10:40:31 | INFO | fxbot | OPEN trade_id=128 pair=USD/JPY side=SHORT p_up=0.231 entry=152.72709 sl=152.87181 tp=152.55343 units=1555.69 equity=11256.63
2026-02-01 10:40:31 | INFO | fxbot | CLOSE trade_id=128 pair=USD/JPY side=SHORT reason=TP exit=152.55343 pnl=270.16 equity=11526.79
2026-02-01 10:40:32 | INFO | fxbot | OPEN trade_id=129 pair=USD/JPY side=SHORT p_up=0.231 entry=152.35824 sl=152.50384 tp=152.18353 units=1583.40 equity=11526.79
2026-02-01 10:40:32 | INFO | fxbot | CLOSE trade_id=129 pair=USD/JPY side=SHORT reason=TIME exit=152.40780 pnl=-78.47 equity=11448.32
2026-02-01 10:40:32 | INFO | fxbot | OPEN trade_id=130 pair=USD/JPY side=SHORT p_up=0.231 entry=152.56876 sl=152.68984 tp=152.42347 units=1891.07 equity=11448.32
2026-02-01 10:40:32 | INFO | fxbot | CLOSE trade_id=130 pair=USD/JPY side=SHORT reason=TP exit=152.42347 pnl=274.76 equity=11723.08
2026-02-01 10:40:33 | INFO | fxbot | OPEN trade_id=131 pair=USD/JPY side=SHORT p_up=0.231 entry=152.47834 sl=152.65365 tp=152.26797 units=1337.43 equity=11723.08
2026-02-01 10:40:33 | INFO | fxbot | OPEN trade_id=132 pair=USD/JPY side=SHORT p_up=0.231 entry=152.47834 sl=152.64660 tp=152.27642 units=1393.42 equity=11723.08
2026-02-01 10:40:33 | INFO | fxbot | CLOSE trade_id=131 pair=USD/JPY side=SHORT reason=SL exit=152.65365 pnl=-234.46 equity=11488.62
2026-02-01 10:40:33 | INFO | fxbot | CLOSE trade_id=132 pair=USD/JPY side=SHORT reason=SL exit=152.64660 pnl=-234.46 equity=11254.16
